Lookback,RSI,Ticker,CAGR,Drawdown
2,92,TQQQ,-2.69%,66.54%
3,83,TQQQ,-2.70%,72.49%
3,82,TQQQ,-2.71%,70.13%
7,65,TQQQ,-2.87%,82.18%
4,76,TQQQ,-2.95%,70.94%
5,67,TQQQ,-3.00%,78.95%
6,68,TQQQ,-3.40%,78.37%
5,74,TQQQ,-3.45%,77.36%
2,89,TQQQ,-3.64%,71.57%
4,69,TQQQ,-3.72%,82.34%
5,68,TQQQ,-3.88%,84.87%
2,88,TQQQ,-3.88%,72.51%
5,73,TQQQ,-4.12%,82.26%
3,81,TQQQ,-4.77%,77.52%
4,75,TQQQ,-5.16%,80.92%
4,68,TQQQ,-5.24%,84.34%
2,91,TQQQ,-5.66%,70.27%
5,72,TQQQ,-5.85%,84.72%
2,90,TQQQ,-6.17%,72.38%
2,87,TQQQ,-6.25%,78.02%
5,66,TQQQ,-6.29%,84.83%
6,66,TQQQ,-6.33%,84.48%
5,65,TQQQ,-6.37%,86.61%
5,71,TQQQ,-6.53%,82.80%
3,80,TQQQ,-6.66%,78.84%
5,69,TQQQ,-6.87%,84.31%
2,86,TQQQ,-7.43%,81.94%
3,76,TQQQ,-7.47%,80.75%
4,66,TQQQ,-7.57%,88.50%
6,65,TQQQ,-7.65%,86.71%
4,67,TQQQ,-7.73%,88.00%
3,77,TQQQ,-7.92%,80.71%
4,70,TQQQ,-7.92%,83.68%
5,70,TQQQ,-8.20%,85.95%
2,85,TQQQ,-8.45%,85.00%
3,75,TQQQ,-8.58%,84.27%
3,79,TQQQ,-8.74%,83.89%
4,72,TQQQ,-9.03%,84.84%
3,65,TQQQ,-9.49%,92.94%
2,84,TQQQ,-9.55%,86.82%
4,74,TQQQ,-9.65%,88.32%
2,76,TQQQ,-9.72%,90.14%
3,66,TQQQ,-9.78%,92.60%
3,78,TQQQ,-9.98%,83.86%
3,68,TQQQ,-10.23%,93.38%
2,82,TQQQ,-10.31%,88.89%
3,67,TQQQ,-10.70%,93.62%
3,74,TQQQ,-10.77%,88.52%
3,73,TQQQ,-10.78%,88.46%
4,65,TQQQ,-10.78%,94.02%
2,75,TQQQ,-11.07%,90.95%
4,73,TQQQ,-11.07%,90.02%
2,74,TQQQ,-11.38%,92.04%
4,71,TQQQ,-11.39%,90.04%
3,69,TQQQ,-11.56%,91.86%
2,77,TQQQ,-11.60%,91.29%
3,70,TQQQ,-11.94%,92.17%
2,81,TQQQ,-12.01%,91.54%
2,79,TQQQ,-12.10%,91.29%
2,83,TQQQ,-12.24%,90.41%
3,72,TQQQ,-12.64%,92.11%
2,78,TQQQ,-13.10%,92.25%
2,71,TQQQ,-13.29%,93.01%
2,70,TQQQ,-13.48%,93.78%
2,80,TQQQ,-13.67%,93.36%
3,71,TQQQ,-13.80%,93.45%
2,73,TQQQ,-14.06%,92.50%
2,69,TQQQ,-14.89%,95.20%
2,68,TQQQ,-16.26%,96.04%
2,72,TQQQ,-16.73%,94.76%
2,67,TQQQ,-17.97%,97.17%
2,66,TQQQ,-18.06%,97.14%
2,65,TQQQ,-19.36%,97.70%
