Symbol,RSI,Days,AR,MD
VCR,72,10,12.92278855,64.30350856
VCR,72,11,12.39981418,53.80962333
VCR,72,12,18.60937786,44.88986026
VCR,72,13,20.26820555,44.88986637
VCR,72,14,20.23332675,41.36962289
VCR,72,15,12.12392296,42.510851
VCR,72,16,16.34746776,32.26320341
VCR,72,17,19.57649402,25.05835824
VCR,72,18,19.09773755,25.05831625
VCR,72,19,17.64885076,25.05834934
VCR,72,20,17.87127487,19.7306659
VCR,73,5,-6.153382642,91.92812841
VCR,73,6,2.058494653,86.51058743
VCR,73,7,3.609170892,82.06703983
VCR,73,8,8.975898845,76.71525559
VCR,73,9,8.422822295,78.21016199
VCR,73,10,15.16155557,53.81192183
VCR,73,11,14.77073313,55.9120124
VCR,73,12,16.56278496,45.10213586
VCR,73,13,17.60935145,41.36948873
VCR,73,14,16.14645541,43.62036771
VCR,73,15,19.40582489,25.05835488
VCR,73,16,19.52054749,25.05832854
VCR,73,17,19.40030015,19.73066542
VCR,73,18,17.94675763,19.73064666
VCR,73,19,15.32228591,19.73062541
VCR,73,20,12.1470456,19.6617261
VCR,74,5,-1.660640673,90.45146912
VCR,74,6,3.391422523,83.08864721
VCR,74,7,7.253229821,80.188899
VCR,74,8,5.046723129,75.62522175
VCR,74,9,11.05075928,52.10378577
VCR,74,10,12.35649019,48.98400955
VCR,74,11,11.6306538,44.81808747
VCR,74,12,15.49334287,43.33851722
VCR,74,13,14.09268555,38.00692481
VCR,74,14,19.69334485,21.35942308
VCR,74,15,17.91785794,16.15800285
VCR,74,16,16.45889649,16.15800107
VCR,74,17,16.02424878,16.0860502
VCR,74,18,15.44295287,13.14826304
VCR,74,19,11.84171836,13.14821579
VCR,74,20,11.86541267,8.512818414
VCR,75,5,1.598029325,87.75741485
VCR,75,6,4.802461887,81.99404707
VCR,75,7,6.159357054,75.36087877
VCR,75,8,7.853595558,74.08183437
VCR,75,9,10.75272195,59.2916183
VCR,75,10,14.60927199,47.35547491
VCR,75,11,12.93156621,41.99049666
VCR,75,12,14.24876719,36.52110604
VCR,75,13,15.82715452,21.35942369
VCR,75,14,17.84898878,14.68508082
VCR,75,15,16.7893296,13.14826864
VCR,75,16,15.86772768,13.1482945
VCR,75,17,15.98857937,8.512818557
VCR,75,18,11.44868797,8.512796249
VCR,75,19,10.74792581,8.580015673
VCR,75,20,9.614627602,8.57992058
VCR,76,5,6.031293304,82.31106069
VCR,76,6,6.010919922,79.60639597
VCR,76,7,5.788494371,78.78302878
VCR,76,8,6.836975552,67.33671133
VCR,76,9,14.44360073,42.61938277
VCR,76,10,12.07725701,43.12848907
VCR,76,11,13.19305868,34.39984647
VCR,76,12,13.65804124,21.35464982
VCR,76,13,15.84439476,15.06107503
VCR,76,14,18.43111499,15.06102391
VCR,76,15,16.70548203,8.900011884
VCR,76,16,14.17797239,8.900004649
VCR,76,17,10.55404712,8.579911728
VCR,76,18,10.00575097,8.766007878
VCR,76,19,7.066842251,8.512828013
VCR,76,20,6.916931409,8.512831724
VCR,77,5,6.637636237,75.99338205
VCR,77,6,6.414988009,79.7481962
VCR,77,7,7.827584386,69.71269442
VCR,77,8,8.767668162,57.8812803
VCR,77,9,11.02888099,47.51226577
VCR,77,10,14.03892817,30.22644731
VCR,77,11,14.00605133,21.35464982
VCR,77,12,16.32976769,14.68504889
VCR,77,13,18.53403617,12.38218218
VCR,77,14,17.83284749,9.085408965
VCR,77,15,13.15392652,8.766063443
VCR,77,16,11.79505381,9.373526338
VCR,77,17,8.230470275,8.512770017
VCR,77,18,7.410369584,8.51282653
VCR,77,19,7.210587112,8.512810884
VCR,77,20,6.959922739,8.512823722
VCR,78,5,8.416850706,78.15823867
VCR,78,6,8.105033873,76.94783843
VCR,78,7,9.316048893,66.42857799
VCR,78,8,12.76631301,40.22503617
VCR,78,9,13.05181882,45.48959384
VCR,78,10,14.0190454,19.79915613
VCR,78,11,15.38320719,14.68504073
VCR,78,12,19.54553606,12.38218218
VCR,78,13,16.98985738,12.38218218
VCR,78,14,12.46225702,8.466896284
VCR,78,15,10.82524086,5.815872257
VCR,78,16,8.538256073,5.815874477
VCR,78,17,7.995165973,5.815979252
VCR,78,18,7.26082836,5.81590925
VCR,78,19,7.329607055,5.408261753
VCR,78,20,6.636641873,5.408193536
VCR,79,5,7.155729557,73.90600795
VCR,79,6,5.646701215,69.07079837
VCR,79,7,12.10759874,55.73055861
VCR,79,8,14.8809511,36.69979088
VCR,79,9,13.57523358,18.65216704
VCR,79,10,15.97530506,17.7726314
VCR,79,11,20.09827377,12.38218218
VCR,79,12,17.28905998,12.38218218
VCR,79,13,13.84975905,5.815899958
VCR,79,14,11.60355273,5.81589825
VCR,79,15,8.649116315,5.012864737
VCR,79,16,8.216428744,5.012891962
VCR,79,17,7.743828463,4.686719167
VCR,79,18,7.506677836,4.686771598
VCR,79,19,6.654949858,4.686536135
VCR,79,20,5.751970294,4.686585548
VCR,80,5,2.562369668,76.32455994
VCR,80,6,6.058726941,70.29595196
VCR,80,7,12.81232807,41.71348683
VCR,80,8,13.16552216,35.56200909
VCR,80,9,15.46337222,17.77263052
VCR,80,10,20.85495185,9.165319207
VCR,80,11,16.64765456,5.01289522
VCR,80,12,13.98522392,5.012846828
VCR,80,13,11.77354967,4.686556793
VCR,80,14,9.693065631,4.686607764
VCR,80,15,8.183509908,5.137863961
VCR,80,16,7.736368231,4.686596066
VCR,80,17,7.665015858,4.686575915
VCR,80,18,5.746848887,4.686530469
VCR,80,19,5.55009704,4.686530469
VCR,80,20,5.553439997,4.686585548
VCR,81,5,2.330366808,74.80424124
VCR,81,6,8.859190061,61.09791876
VCR,81,7,15.01176277,26.69779075
VCR,81,8,14.43384462,21.51358805
VCR,81,9,18.54821071,14.43776331
VCR,81,10,18.42329246,5.012885909
VCR,81,11,15.29239886,4.686566072
VCR,81,12,11.96766721,4.68656279
VCR,81,13,9.34814488,4.68652643
VCR,81,14,8.42806179,4.686584149
VCR,81,15,7.735757708,4.686522187
VCR,81,16,7.616623689,4.686528962
VCR,81,17,6.101663477,1.391642465
VCR,81,18,5.906099156,1.391658528
VCR,81,19,5.445553886,1.391579651
VCR,81,20,5.276076254,1.391715868
VCR,82,5,4.043510718,69.11453708
VCR,82,6,9.698074844,53.51350874
VCR,82,7,10.26553964,19.20861852
VCR,82,8,13.27703964,16.30183964
VCR,82,9,17.55817702,6.559490797
VCR,82,10,14.50343995,4.686553655
VCR,82,11,11.18965101,4.686551792
