Symbol,Days,RSI,AR,MD ,Calmar
IDLV,9,86,1.41%,0.35%,4
IDLV,9,87,1.41%,0.35%,4
IDLV,10,84,1.41%,0.35%,4
IDLV,10,85,1.41%,0.35%,4
IDLV,10,86,1.41%,0.35%,4
PHDG,6,95,1.41%,0.33%,4.3
PHDG,7,93,1.41%,0.33%,4.3
PHDG,7,94,1.41%,0.33%,4.3
PHDG,7,95,1.41%,0.33%,4.3
PHDG,8,91,1.41%,0.33%,4.3
PHDG,8,92,1.41%,0.33%,4.3
PHDG,8,93,1.41%,0.33%,4.3
PHDG,8,94,1.41%,0.33%,4.3
PHDG,8,95,1.41%,0.33%,4.3
PHDG,9,90,1.41%,0.33%,4.3
PHDG,9,91,1.41%,0.33%,4.3
PHDG,9,92,1.41%,0.33%,4.3
PHDG,9,93,1.41%,0.33%,4.3
PHDG,9,94,1.41%,0.33%,4.3
PHDG,9,95,1.41%,0.33%,4.3
PHDG,10,89,1.41%,0.33%,4.3
PHDG,10,90,1.41%,0.33%,4.3
PHDG,10,91,1.41%,0.33%,4.3
PHDG,10,92,1.41%,0.33%,4.3
PHDG,10,93,1.41%,0.33%,4.3
PHDG,10,94,1.41%,0.33%,4.3
PHDG,10,95,1.41%,0.33%,4.3
TQQQ,14,86,1.41%,0.45%,3.1
TQQQ,13,86,1.41%,0.45%,3.1
TQQQ,13,87,1.41%,0.45%,3.1
RSPT,6,92,1.41%,2.00%,0.7
USCI,9,87,1.41%,13.58%,0.1
TQQQ,10,90,1.41%,0.45%,3.1
TQQQ,12,87,1.41%,0.45%,3.1
TQQQ,12,88,1.41%,0.45%,3.1
TQQQ,11,89,1.41%,0.45%,3.1
UNL,9,74,1.40%,32.20%,0
EWH,8,85,1.40%,9.70%,0.1
SPHD,15,80,1.40%,0.33%,4.3
SPHD,15,81,1.40%,0.33%,4.3
SPHD,15,82,1.40%,0.33%,4.3
SPHD,15,83,1.40%,0.33%,4.3
SPHD,15,84,1.40%,0.33%,4.3
SPHD,15,85,1.40%,0.33%,4.3
SPHD,15,86,1.40%,0.33%,4.3
SPHD,15,87,1.40%,0.33%,4.3
SPHD,15,88,1.40%,0.33%,4.3
SPHD,15,89,1.40%,0.33%,4.3
SPHD,15,90,1.40%,0.33%,4.3
SPHD,15,91,1.40%,0.33%,4.3
SPHD,15,92,1.40%,0.33%,4.3
SPHD,15,93,1.40%,0.33%,4.3
SPHD,15,94,1.40%,0.33%,4.3
SPHD,15,95,1.40%,0.33%,4.3
SPHD,14,81,1.40%,0.33%,4.3
SPHD,14,82,1.40%,0.33%,4.3
SPHD,14,83,1.40%,0.33%,4.3
SPHD,14,84,1.40%,0.33%,4.3
SPHD,14,85,1.40%,0.33%,4.3
SPHD,14,86,1.40%,0.33%,4.3
SPHD,14,87,1.40%,0.33%,4.3
SPHD,14,88,1.40%,0.33%,4.3
SPHD,14,89,1.40%,0.33%,4.3
SPHD,14,90,1.40%,0.33%,4.3
SPHD,14,91,1.40%,0.33%,4.3
SPHD,14,92,1.40%,0.33%,4.3
SPHD,14,93,1.40%,0.33%,4.3
SPHD,14,94,1.40%,0.33%,4.3
SPHD,14,95,1.40%,0.33%,4.3
ZSL,15,86,1.40%,11.52%,0.1
SPHD,13,82,1.40%,0.33%,4.3
SPHD,13,83,1.40%,0.33%,4.3
SPHD,13,84,1.40%,0.33%,4.3
SPHD,13,85,1.40%,0.33%,4.3
SPHD,13,86,1.40%,0.33%,4.3
SPHD,13,87,1.40%,0.33%,4.3
SPHD,13,88,1.40%,0.33%,4.3
SPHD,13,89,1.40%,0.33%,4.3
SPHD,13,90,1.40%,0.33%,4.3
SPHD,13,91,1.40%,0.33%,4.3
SPHD,13,92,1.40%,0.33%,4.3
SPHD,13,93,1.40%,0.33%,4.3
SPHD,13,94,1.40%,0.33%,4.3
SPHD,13,95,1.40%,0.33%,4.3
SPHD,12,83,1.40%,0.33%,4.3
SPHD,12,84,1.40%,0.33%,4.3
SPHD,12,85,1.40%,0.33%,4.3
SPHD,12,86,1.40%,0.33%,4.3
SPHD,12,87,1.40%,0.33%,4.3
SPHD,12,88,1.40%,0.33%,4.3
SPHD,12,89,1.40%,0.33%,4.3
SPHD,12,90,1.40%,0.33%,4.3
SPHD,12,91,1.40%,0.33%,4.3
SPHD,12,92,1.40%,0.33%,4.3
SPHD,12,93,1.40%,0.33%,4.3
SPHD,12,94,1.40%,0.33%,4.3
SPHD,12,95,1.40%,0.33%,4.3
SPHD,11,85,1.40%,0.33%,4.3
SPHD,11,86,1.40%,0.33%,4.3
SPHD,11,87,1.40%,0.33%,4.3
SPHD,11,88,1.40%,0.33%,4.3
SPHD,11,89,1.40%,0.33%,4.3
SPHD,11,90,1.40%,0.33%,4.3
SPHD,11,91,1.40%,0.33%,4.3
SPHD,11,92,1.40%,0.33%,4.3
SPHD,11,93,1.40%,0.33%,4.3
SPHD,11,94,1.40%,0.33%,4.3
SPHD,11,95,1.40%,0.33%,4.3
DHS,14,81,1.40%,0.43%,3.2
SPHD,5,95,1.40%,0.33%,4.3
SPHD,6,93,1.40%,0.33%,4.3
SPHD,6,94,1.40%,0.33%,4.3
SPHD,6,95,1.40%,0.33%,4.3
SPHD,7,91,1.40%,0.33%,4.3
SPHD,7,92,1.40%,0.33%,4.3
SPHD,7,93,1.40%,0.33%,4.3
SPHD,7,94,1.40%,0.33%,4.3
SPHD,7,95,1.40%,0.33%,4.3
SPHD,8,90,1.40%,0.33%,4.3
SPHD,8,91,1.40%,0.33%,4.3
SPHD,8,92,1.40%,0.33%,4.3
SPHD,8,93,1.40%,0.33%,4.3
SPHD,8,94,1.40%,0.33%,4.3
SPHD,8,95,1.40%,0.33%,4.3
SPHD,9,88,1.40%,0.33%,4.3
SPHD,9,89,1.40%,0.33%,4.3
SPHD,9,90,1.40%,0.33%,4.3
SPHD,9,91,1.40%,0.33%,4.3
SPHD,9,92,1.40%,0.33%,4.3
SPHD,9,93,1.40%,0.33%,4.3
SPHD,9,94,1.40%,0.33%,4.3
SPHD,9,95,1.40%,0.33%,4.3
SPHD,10,86,1.40%,0.33%,4.3
SPHD,10,87,1.40%,0.33%,4.3
SPHD,10,88,1.40%,0.33%,4.3
SPHD,10,89,1.40%,0.33%,4.3
SPHD,10,90,1.40%,0.33%,4.3
SPHD,10,91,1.40%,0.33%,4.3
SPHD,10,92,1.40%,0.33%,4.3
SPHD,10,93,1.40%,0.33%,4.3
SPHD,10,94,1.40%,0.33%,4.3
SPHD,10,95,1.40%,0.33%,4.3
EWH,7,88,1.40%,9.71%,0.1
DHS,13,82,1.40%,0.43%,3.2
DHS,6,94,1.39%,0.43%,3.2
DHS,7,92,1.39%,0.43%,3.2
DHS,10,87,1.39%,0.43%,3.2
DHS,11,85,1.39%,0.43%,3.2
BIV,2,94,1.39%,70.12%,0
UNL,9,79,1.39%,14.14%,0.1
UNL,11,79,1.39%,10.64%,0.1
UNL,13,66,1.38%,51.97%,0
UNL,6,88,1.37%,12.85%,0.1
RSPT,11,69,1.37%,50.27%,0
USCI,4,95,1.37%,20.76%,0.1
SPHD,13,80,1.37%,3.14%,0.4
UNL,12,68,1.37%,54.32%,0
IDLV,7,86,1.37%,2.82%,0.5
BIV,13,79,1.37%,35.44%,0
PHDG,4,83,1.37%,43.08%,0
TQQQ,15,85,1.36%,0.45%,3
RINF,7,82,1.36%,26.82%,0.1
RSPT,10,69,1.35%,46.01%,0
GNMA,3,85,1.35%,55.85%,0
FDL,13,84,1.35%,6.60%,0.2
USCI,13,87,1.35%,5.25%,0.3
EWH,8,80,1.35%,25.41%,0.1
FDL,15,83,1.35%,6.60%,0.2
UNL,8,85,1.35%,12.85%,0.1
USCI,12,88,1.35%,5.25%,0.3
ZSL,6,87,1.35%,39.48%,0
DHS,8,67,1.35%,69.36%,0
GNMA,10,85,1.35%,14.92%,0.1
IDLV,5,79,1.34%,35.37%,0
USCI,8,87,1.34%,16.85%,0.1
SPTI,8,92,1.34%,20.67%,0.1
ZSL,10,85,1.34%,11.52%,0.1
SPHD,13,81,1.34%,0.96%,1.4
SPHD,12,82,1.34%,0.96%,1.4
SPHD,11,83,1.33%,0.96%,1.4
SPHD,11,84,1.33%,0.96%,1.4
SPHD,7,90,1.33%,0.96%,1.4
SPHD,8,88,1.33%,0.96%,1.4
SPHD,8,89,1.33%,0.96%,1.4
SPHD,9,86,1.33%,0.96%,1.4
SPHD,9,87,1.33%,0.96%,1.4
SPHD,10,85,1.33%,0.96%,1.4
USCI,14,80,1.33%,13.99%,0.1
IDLV,4,95,1.33%,1.82%,0.7
IDLV,5,92,1.33%,1.82%,0.7
USCI,14,82,1.33%,16.39%,0.1
USCI,13,83,1.33%,16.39%,0.1
UNL,12,77,1.33%,10.64%,0.1
IDLV,5,93,1.32%,1.06%,1.3
IDLV,6,90,1.32%,1.06%,1.3
GNMA,11,88,1.32%,0.35%,3.8
GNMA,11,89,1.32%,0.35%,3.8
GNMA,11,90,1.32%,0.35%,3.8
GNMA,11,91,1.32%,0.35%,3.8
GNMA,11,92,1.32%,0.35%,3.8
GNMA,11,93,1.32%,0.35%,3.8
GNMA,11,94,1.32%,0.35%,3.8
GNMA,11,95,1.32%,0.35%,3.8
GNMA,15,84,1.32%,0.35%,3.8
GNMA,15,85,1.32%,0.35%,3.8
GNMA,15,86,1.32%,0.35%,3.8
GNMA,15,87,1.32%,0.35%,3.8
GNMA,15,88,1.32%,0.35%,3.8
GNMA,15,89,1.32%,0.35%,3.8
GNMA,15,90,1.32%,0.35%,3.8
GNMA,15,91,1.32%,0.35%,3.8
GNMA,15,92,1.32%,0.35%,3.8
GNMA,15,93,1.32%,0.35%,3.8
GNMA,15,94,1.32%,0.35%,3.8
GNMA,15,95,1.32%,0.35%,3.8
GNMA,6,94,1.32%,0.35%,3.8
GNMA,6,95,1.32%,0.35%,3.8
GNMA,7,93,1.32%,0.35%,3.8
GNMA,7,94,1.32%,0.35%,3.8
GNMA,7,95,1.32%,0.35%,3.8
GNMA,8,91,1.32%,0.35%,3.8
GNMA,8,92,1.32%,0.35%,3.8
GNMA,8,93,1.32%,0.35%,3.8
GNMA,8,94,1.32%,0.35%,3.8
GNMA,8,95,1.32%,0.35%,3.8
GNMA,9,90,1.32%,0.35%,3.8
GNMA,9,91,1.32%,0.35%,3.8
GNMA,9,92,1.32%,0.35%,3.8
GNMA,9,93,1.32%,0.35%,3.8
GNMA,9,94,1.32%,0.35%,3.8
GNMA,9,95,1.32%,0.35%,3.8
GNMA,10,89,1.32%,0.35%,3.8
GNMA,10,90,1.32%,0.35%,3.8
GNMA,10,91,1.32%,0.35%,3.8
GNMA,10,92,1.32%,0.35%,3.8
GNMA,10,93,1.32%,0.35%,3.8
GNMA,10,94,1.32%,0.35%,3.8
GNMA,10,95,1.32%,0.35%,3.8
PHDG,13,65,1.32%,51.78%,0
GNMA,14,85,1.32%,0.35%,3.8
GNMA,14,86,1.32%,0.35%,3.8
GNMA,14,87,1.32%,0.35%,3.8
GNMA,14,88,1.32%,0.35%,3.8
GNMA,14,89,1.32%,0.35%,3.8
GNMA,14,90,1.32%,0.35%,3.8
GNMA,14,91,1.32%,0.35%,3.8
GNMA,14,92,1.32%,0.35%,3.8
GNMA,14,93,1.32%,0.35%,3.8
GNMA,14,94,1.32%,0.35%,3.8
GNMA,14,95,1.32%,0.35%,3.8
GNMA,13,86,1.32%,0.35%,3.8
GNMA,13,87,1.32%,0.35%,3.8
GNMA,13,88,1.32%,0.35%,3.8
GNMA,13,89,1.32%,0.35%,3.8
GNMA,13,90,1.32%,0.35%,3.8
GNMA,13,91,1.32%,0.35%,3.8
GNMA,13,92,1.32%,0.35%,3.8
GNMA,13,93,1.32%,0.35%,3.8
GNMA,13,94,1.32%,0.35%,3.8
GNMA,13,95,1.32%,0.35%,3.8
GNMA,12,87,1.32%,0.35%,3.8
GNMA,12,88,1.32%,0.35%,3.8
GNMA,12,89,1.32%,0.35%,3.8
GNMA,12,90,1.32%,0.35%,3.8
GNMA,12,91,1.32%,0.35%,3.8
GNMA,12,92,1.32%,0.35%,3.8
GNMA,12,93,1.32%,0.35%,3.8
GNMA,12,94,1.32%,0.35%,3.8
GNMA,12,95,1.32%,0.35%,3.8
UNL,12,76,1.32%,12.19%,0.1
IDLV,15,83,1.32%,0.35%,3.8
IDLV,15,84,1.32%,0.35%,3.8
IDLV,15,85,1.32%,0.35%,3.8
IDLV,15,86,1.32%,0.35%,3.8
IDLV,15,87,1.32%,0.35%,3.8
IDLV,15,88,1.32%,0.35%,3.8
IDLV,15,89,1.32%,0.35%,3.8
IDLV,15,90,1.32%,0.35%,3.8
IDLV,15,91,1.32%,0.35%,3.8
IDLV,15,92,1.32%,0.35%,3.8
IDLV,15,93,1.32%,0.35%,3.8
IDLV,15,94,1.32%,0.35%,3.8
IDLV,15,95,1.32%,0.35%,3.8
IDLV,13,84,1.32%,0.35%,3.8
IDLV,13,85,1.32%,0.35%,3.8
IDLV,13,86,1.32%,0.35%,3.8
IDLV,13,87,1.32%,0.35%,3.8
IDLV,13,88,1.32%,0.35%,3.8
IDLV,13,89,1.32%,0.35%,3.8
IDLV,13,90,1.32%,0.35%,3.8
IDLV,13,91,1.32%,0.35%,3.8
IDLV,13,92,1.32%,0.35%,3.8
IDLV,13,93,1.32%,0.35%,3.8
IDLV,13,94,1.32%,0.35%,3.8
IDLV,13,95,1.32%,0.35%,3.8
IDLV,12,85,1.31%,0.35%,3.8
IDLV,12,86,1.31%,0.35%,3.8
IDLV,12,87,1.31%,0.35%,3.8
IDLV,12,88,1.31%,0.35%,3.8
IDLV,12,89,1.31%,0.35%,3.8
IDLV,12,90,1.31%,0.35%,3.8
IDLV,12,91,1.31%,0.35%,3.8
IDLV,12,92,1.31%,0.35%,3.8
IDLV,12,93,1.31%,0.35%,3.8
IDLV,12,94,1.31%,0.35%,3.8
IDLV,12,95,1.31%,0.35%,3.8
RINF,15,85,1.31%,0.35%,3.8
RINF,15,86,1.31%,0.35%,3.8
RINF,15,87,1.31%,0.35%,3.8
RINF,15,88,1.31%,0.35%,3.8
RINF,15,89,1.31%,0.35%,3.8
RINF,15,90,1.31%,0.35%,3.8
RINF,15,91,1.31%,0.35%,3.8
RINF,15,92,1.31%,0.35%,3.8
RINF,15,93,1.31%,0.35%,3.8
RINF,15,94,1.31%,0.35%,3.8
RINF,15,95,1.31%,0.35%,3.8
IDLV,11,86,1.31%,0.35%,3.8
IDLV,11,87,1.31%,0.35%,3.8
IDLV,11,88,1.31%,0.35%,3.8
IDLV,11,89,1.31%,0.35%,3.8
IDLV,11,90,1.31%,0.35%,3.8
IDLV,11,91,1.31%,0.35%,3.8
IDLV,11,92,1.31%,0.35%,3.8
IDLV,11,93,1.31%,0.35%,3.8
IDLV,11,94,1.31%,0.35%,3.8
IDLV,11,95,1.31%,0.35%,3.8
RINF,14,86,1.31%,0.35%,3.8
RINF,14,87,1.31%,0.35%,3.8
RINF,14,88,1.31%,0.35%,3.8
RINF,14,89,1.31%,0.35%,3.8
RINF,14,90,1.31%,0.35%,3.8
RINF,14,91,1.31%,0.35%,3.8
RINF,14,92,1.31%,0.35%,3.8
RINF,14,93,1.31%,0.35%,3.8
RINF,14,94,1.31%,0.35%,3.8
RINF,14,95,1.31%,0.35%,3.8
EWH,5,90,1.31%,11.35%,0.1
IDLV,5,94,1.31%,0.35%,3.8
IDLV,5,95,1.31%,0.35%,3.8
IDLV,6,93,1.31%,0.35%,3.8
IDLV,6,94,1.31%,0.35%,3.8
IDLV,6,95,1.31%,0.35%,3.8
IDLV,7,91,1.31%,0.35%,3.8
IDLV,7,92,1.31%,0.35%,3.8
IDLV,7,93,1.31%,0.35%,3.8
IDLV,7,94,1.31%,0.35%,3.8
IDLV,7,95,1.31%,0.35%,3.8
IDLV,8,90,1.31%,0.35%,3.8
IDLV,8,91,1.31%,0.35%,3.8
IDLV,8,92,1.31%,0.35%,3.8
IDLV,8,93,1.31%,0.35%,3.8
IDLV,8,94,1.31%,0.35%,3.8
IDLV,8,95,1.31%,0.35%,3.8
IDLV,9,88,1.31%,0.35%,3.8
IDLV,9,89,1.31%,0.35%,3.8
IDLV,9,90,1.31%,0.35%,3.8
IDLV,9,91,1.31%,0.35%,3.8
IDLV,9,92,1.31%,0.35%,3.8
IDLV,9,93,1.31%,0.35%,3.8
IDLV,9,94,1.31%,0.35%,3.8
IDLV,9,95,1.31%,0.35%,3.8
IDLV,10,87,1.31%,0.35%,3.8
IDLV,10,88,1.31%,0.35%,3.8
IDLV,10,89,1.31%,0.35%,3.8
IDLV,10,90,1.31%,0.35%,3.8
IDLV,10,91,1.31%,0.35%,3.8
IDLV,10,92,1.31%,0.35%,3.8
IDLV,10,93,1.31%,0.35%,3.8
IDLV,10,94,1.31%,0.35%,3.8
IDLV,10,95,1.31%,0.35%,3.8
RINF,13,88,1.31%,0.35%,3.8
RINF,13,89,1.31%,0.35%,3.8
RINF,13,90,1.31%,0.35%,3.8
RINF,13,91,1.31%,0.35%,3.8
RINF,13,92,1.31%,0.35%,3.8
RINF,13,93,1.31%,0.35%,3.8
RINF,13,94,1.31%,0.35%,3.8
RINF,13,95,1.31%,0.35%,3.8
IDLV,14,83,1.31%,0.35%,3.8
IDLV,14,84,1.31%,0.35%,3.8
IDLV,14,85,1.31%,0.35%,3.8
IDLV,14,86,1.31%,0.35%,3.8
IDLV,14,87,1.31%,0.35%,3.8
IDLV,14,88,1.31%,0.35%,3.8
IDLV,14,89,1.31%,0.35%,3.8
IDLV,14,90,1.31%,0.35%,3.8
IDLV,14,91,1.31%,0.35%,3.8
IDLV,14,92,1.31%,0.35%,3.8
IDLV,14,93,1.31%,0.35%,3.8
IDLV,14,94,1.31%,0.35%,3.8
IDLV,14,95,1.31%,0.35%,3.8
RINF,11,90,1.31%,0.35%,3.8
RINF,11,91,1.31%,0.35%,3.8
RINF,11,92,1.31%,0.35%,3.8
RINF,11,93,1.31%,0.35%,3.8
RINF,11,94,1.31%,0.35%,3.8
RINF,11,95,1.31%,0.35%,3.8
RINF,8,95,1.31%,0.35%,3.8
RINF,9,93,1.31%,0.35%,3.8
RINF,9,94,1.31%,0.35%,3.8
RINF,9,95,1.31%,0.35%,3.8
RINF,10,92,1.31%,0.35%,3.8
RINF,10,93,1.31%,0.35%,3.8
RINF,10,94,1.31%,0.35%,3.8
RINF,10,95,1.31%,0.35%,3.8
RINF,15,68,1.31%,40.23%,0
DHS,3,85,1.31%,40.37%,0
RINF,12,89,1.31%,0.35%,3.8
RINF,12,90,1.31%,0.35%,3.8
RINF,12,91,1.31%,0.35%,3.8
RINF,12,92,1.31%,0.35%,3.8
RINF,12,93,1.31%,0.35%,3.8
RINF,12,94,1.31%,0.35%,3.8
RINF,12,95,1.31%,0.35%,3.8
DTH,14,84,1.31%,0.43%,3
DTH,13,85,1.31%,0.43%,3
RSPT,13,67,1.31%,56.14%,0
UNL,7,86,1.31%,12.85%,0.1
DTH,14,85,1.30%,0.43%,3
DTH,13,86,1.30%,0.43%,3
DTH,15,84,1.30%,0.43%,3
DTH,12,86,1.30%,0.43%,3
DTH,11,87,1.30%,0.43%,3
DHS,5,95,1.29%,1.64%,0.8
DHS,6,93,1.29%,1.64%,0.8
DHS,7,91,1.29%,1.64%,0.8
DHS,8,89,1.29%,1.64%,0.8
DHS,8,90,1.29%,1.64%,0.8
DHS,9,88,1.29%,1.64%,0.8
DHS,10,86,1.29%,1.64%,0.8
ZSL,6,94,1.29%,9.75%,0.1
ZSL,7,93,1.29%,9.75%,0.1
UNL,9,81,1.29%,14.26%,0.1
UNL,10,80,1.29%,14.26%,0.1
EWH,3,95,1.29%,12.35%,0.1
RINF,8,77,1.28%,38.56%,0
ZSL,6,95,1.28%,9.75%,0.1
DHS,6,92,1.28%,5.03%,0.3
DTH,12,65,1.28%,52.52%,0
RINF,6,88,1.28%,21.82%,0.1
FXE,4,77,1.28%,47.23%,0
XMPT,13,90,1.27%,13.86%,0.1
ZSL,11,83,1.27%,11.52%,0.1
USCI,14,86,1.27%,5.25%,0.2
EWH,8,86,1.27%,8.41%,0.2
USCI,15,85,1.27%,5.25%,0.2
UNL,11,78,1.27%,11.07%,0.1
FDL,12,85,1.26%,6.60%,0.2
FDL,8,91,1.26%,8.96%,0.1
XMPT,15,91,1.26%,0.41%,3.1
XMPT,15,92,1.26%,0.41%,3.1
XMPT,15,93,1.26%,0.41%,3.1
XMPT,15,94,1.26%,0.41%,3.1
XMPT,15,95,1.26%,0.41%,3.1
XMPT,14,92,1.26%,0.41%,3.1
XMPT,14,93,1.26%,0.41%,3.1
XMPT,14,94,1.26%,0.41%,3.1
XMPT,14,95,1.26%,0.41%,3.1
XMPT,13,93,1.26%,0.41%,3.1
XMPT,13,94,1.26%,0.41%,3.1
XMPT,13,95,1.26%,0.41%,3.1
ZSL,10,90,1.26%,9.75%,0.1
XMPT,12,94,1.26%,0.41%,3.1
XMPT,12,95,1.26%,0.41%,3.1
XMPT,11,95,1.26%,0.41%,3.1
ZSL,11,89,1.26%,9.75%,0.1
SPHD,3,90,1.26%,37.11%,0
USCI,9,86,1.26%,18.50%,0.1
UNL,11,77,1.25%,15.34%,0.1
ZSL,15,82,1.25%,11.52%,0.1
ZSL,11,86,1.25%,11.52%,0.1
SPLV,15,82,1.24%,0.41%,3
SPLV,15,83,1.24%,0.41%,3
SPLV,15,84,1.24%,0.41%,3
SPLV,15,85,1.24%,0.41%,3
SPLV,15,86,1.24%,0.41%,3
SPLV,15,87,1.24%,0.41%,3
SPLV,15,88,1.24%,0.41%,3
SPLV,15,89,1.24%,0.41%,3
SPLV,15,90,1.24%,0.41%,3
SPLV,15,91,1.24%,0.41%,3
SPLV,15,92,1.24%,0.41%,3
SPLV,15,93,1.24%,0.41%,3
SPLV,15,94,1.24%,0.41%,3
SPLV,15,95,1.24%,0.41%,3
SPLV,7,94,1.24%,0.43%,2.9
SPLV,7,95,1.24%,0.43%,2.9
SPLV,8,92,1.24%,0.43%,2.9
SPLV,8,93,1.24%,0.43%,2.9
SPLV,8,94,1.24%,0.43%,2.9
SPLV,8,95,1.24%,0.43%,2.9
SPLV,9,90,1.24%,0.43%,2.9
SPLV,9,91,1.24%,0.43%,2.9
SPLV,9,92,1.24%,0.43%,2.9
SPLV,9,93,1.24%,0.43%,2.9
SPLV,9,94,1.24%,0.43%,2.9
SPLV,9,95,1.24%,0.43%,2.9
SPLV,10,89,1.24%,0.43%,2.9
SPLV,10,90,1.24%,0.43%,2.9
SPLV,10,91,1.24%,0.43%,2.9
SPLV,10,92,1.24%,0.43%,2.9
SPLV,10,93,1.24%,0.43%,2.9
SPLV,10,94,1.24%,0.43%,2.9
SPLV,10,95,1.24%,0.43%,2.9
SPLV,14,83,1.24%,0.41%,3
SPLV,14,84,1.24%,0.41%,3
SPLV,14,85,1.24%,0.41%,3
SPLV,14,86,1.24%,0.41%,3
SPLV,14,87,1.24%,0.41%,3
SPLV,14,88,1.24%,0.41%,3
SPLV,14,89,1.24%,0.41%,3
SPLV,14,90,1.24%,0.41%,3
SPLV,14,91,1.24%,0.41%,3
SPLV,14,92,1.24%,0.41%,3
SPLV,14,93,1.24%,0.41%,3
SPLV,14,94,1.24%,0.41%,3
SPLV,14,95,1.24%,0.41%,3
EWH,4,90,1.24%,18.97%,0.1
SPLV,13,84,1.24%,0.41%,3
SPLV,13,85,1.24%,0.41%,3
SPLV,13,86,1.24%,0.41%,3
SPLV,13,87,1.24%,0.41%,3
SPLV,13,88,1.24%,0.41%,3
SPLV,13,89,1.24%,0.41%,3
SPLV,13,90,1.24%,0.41%,3
SPLV,13,91,1.24%,0.41%,3
SPLV,13,92,1.24%,0.41%,3
SPLV,13,93,1.24%,0.41%,3
SPLV,13,94,1.24%,0.41%,3
SPLV,13,95,1.24%,0.41%,3
SPLV,12,85,1.24%,0.41%,3
SPLV,12,86,1.24%,0.41%,3
SPLV,12,87,1.24%,0.41%,3
SPLV,12,88,1.24%,0.41%,3
SPLV,12,89,1.24%,0.41%,3
SPLV,12,90,1.24%,0.41%,3
SPLV,12,91,1.24%,0.41%,3
SPLV,12,92,1.24%,0.41%,3
SPLV,12,93,1.24%,0.41%,3
SPLV,12,94,1.24%,0.41%,3
SPLV,12,95,1.24%,0.41%,3
BIV,14,78,1.24%,35.26%,0
ZSL,10,80,1.24%,28.47%,0
EWH,11,65,1.24%,43.16%,0
SPLV,11,87,1.24%,0.43%,2.9
SPLV,11,88,1.24%,0.43%,2.9
SPLV,11,89,1.24%,0.43%,2.9
SPLV,11,90,1.24%,0.43%,2.9
SPLV,11,91,1.24%,0.43%,2.9
SPLV,11,92,1.24%,0.43%,2.9
SPLV,11,93,1.24%,0.43%,2.9
SPLV,11,94,1.24%,0.43%,2.9
SPLV,11,95,1.24%,0.43%,2.9
PHDG,11,87,1.24%,2.36%,0.5
PHDG,11,88,1.24%,2.36%,0.5
PHDG,10,88,1.24%,2.36%,0.5
SPTI,4,95,1.24%,26.54%,0
BIV,4,82,1.24%,72.22%,0
USCI,15,78,1.24%,16.68%,0.1
GNMA,14,82,1.24%,13.25%,0.1
EWH,5,86,1.23%,24.30%,0.1
USCI,14,85,1.23%,6.87%,0.2
EWH,7,89,1.23%,5.24%,0.2
BIV,9,81,1.23%,41.34%,0
EWH,4,77,1.23%,52.46%,0
SPHD,15,79,1.22%,2.52%,0.5
SPHD,14,80,1.22%,2.52%,0.5
BIV,14,89,1.22%,0.43%,2.8
BIV,14,90,1.22%,0.43%,2.8
BIV,14,91,1.22%,0.43%,2.8
BIV,14,92,1.22%,0.43%,2.8
BIV,14,93,1.22%,0.43%,2.8
BIV,14,94,1.22%,0.43%,2.8
BIV,14,95,1.22%,0.43%,2.8
DHS,14,82,1.22%,0.43%,2.8
DHS,14,83,1.22%,0.43%,2.8
DHS,14,84,1.22%,0.43%,2.8
DHS,14,85,1.22%,0.43%,2.8
DHS,14,86,1.22%,0.43%,2.8
DHS,14,87,1.22%,0.43%,2.8
DHS,14,88,1.22%,0.43%,2.8
DHS,14,89,1.22%,0.43%,2.8
DHS,14,90,1.22%,0.43%,2.8
DHS,14,91,1.22%,0.43%,2.8
DHS,14,92,1.22%,0.43%,2.8
DHS,14,93,1.22%,0.43%,2.8
DHS,14,94,1.22%,0.43%,2.8
DHS,14,95,1.22%,0.43%,2.8
DTH,14,86,1.22%,0.43%,2.8
DTH,14,87,1.22%,0.43%,2.8
DTH,14,88,1.22%,0.43%,2.8
DTH,14,89,1.22%,0.43%,2.8
DTH,14,90,1.22%,0.43%,2.8
DTH,14,91,1.22%,0.43%,2.8
DTH,14,92,1.22%,0.43%,2.8
DTH,14,93,1.22%,0.43%,2.8
DTH,14,94,1.22%,0.43%,2.8
DTH,14,95,1.22%,0.43%,2.8
EWH,14,87,1.22%,0.43%,2.8
EWH,14,88,1.22%,0.43%,2.8
EWH,14,89,1.22%,0.43%,2.8
EWH,14,90,1.22%,0.43%,2.8
EWH,14,91,1.22%,0.43%,2.8
EWH,14,92,1.22%,0.43%,2.8
EWH,14,93,1.22%,0.43%,2.8
EWH,14,94,1.22%,0.43%,2.8
EWH,14,95,1.22%,0.43%,2.8
FDL,14,88,1.22%,0.43%,2.8
FDL,14,89,1.22%,0.43%,2.8
FDL,14,90,1.22%,0.43%,2.8
FDL,14,91,1.22%,0.43%,2.8
FDL,14,92,1.22%,0.43%,2.8
FDL,14,93,1.22%,0.43%,2.8
FDL,14,94,1.22%,0.43%,2.8
FDL,14,95,1.22%,0.43%,2.8
FXE,14,82,1.22%,0.43%,2.8
FXE,14,83,1.22%,0.43%,2.8
FXE,14,84,1.22%,0.43%,2.8
FXE,14,85,1.22%,0.43%,2.8
FXE,14,86,1.22%,0.43%,2.8
FXE,14,87,1.22%,0.43%,2.8
FXE,14,88,1.22%,0.43%,2.8
