Symbol,Days,RSI,AR,MD ,Calmar
TQQQ,6,79,10.40%,25.74%,0.4
PHDG,12,70,10.39%,36.38%,0.3
SPLV,6,72,10.38%,43.26%,0.2
PHDG,12,74,10.36%,11.03%,0.9
IOO,14,73,10.35%,9.43%,1.1
USCI,13,68,10.33%,26.71%,0.4
SPLV,9,71,10.33%,32.09%,0.3
FDL,6,78,10.32%,29.46%,0.4
FDL,7,76,10.32%,30.47%,0.3
TQQQ,6,81,10.31%,18.64%,0.6
GNMA,8,80,10.31%,16.62%,0.6
PHDG,14,69,10.31%,37.98%,0.3
SPHD,13,75,10.30%,8.08%,1.3
PHDG,14,71,10.30%,22.41%,0.5
SPLV,9,66,10.29%,46.47%,0.2
SPHD,7,76,10.28%,27.63%,0.4
IOO,15,65,10.28%,39.49%,0.3
IOO,3,88,10.27%,23.83%,0.4
TQQQ,14,74,10.27%,29.82%,0.3
IOO,6,85,10.27%,5.97%,1.7
SPLV,13,66,10.27%,44.45%,0.2
PHDG,13,72,10.27%,22.41%,0.5
PHDG,11,72,10.24%,33.51%,0.3
USCI,15,68,10.24%,26.49%,0.4
PHDG,10,74,10.23%,35.69%,0.3
TQQQ,13,78,10.22%,11.19%,0.9
FDL,10,75,10.22%,24.39%,0.4
FXE,15,68,10.22%,20.28%,0.5
DHS,13,71,10.22%,27.40%,0.4
RSPT,15,71,10.21%,11.88%,0.9
PHDG,9,76,10.20%,21.23%,0.5
GNMA,8,79,10.20%,18.07%,0.6
IOO,12,74,10.20%,9.43%,1.1
RSPT,13,71,10.20%,16.83%,0.6
TQQQ,14,75,10.20%,24.32%,0.4
IOO,11,67,10.20%,34.76%,0.3
SPLV,14,65,10.19%,47.30%,0.2
USCI,6,75,10.18%,45.61%,0.2
BIV,5,86,10.17%,27.77%,0.4
TQQQ,6,78,10.17%,38.08%,0.3
USCI,6,74,10.16%,46.50%,0.2
DTH,11,68,10.16%,35.91%,0.3
USCI,13,69,10.16%,26.29%,0.4
USCI,14,65,10.16%,38.82%,0.3
TQQQ,7,79,10.15%,19.32%,0.5
IOO,9,78,10.15%,9.94%,1
FDL,7,78,10.15%,20.14%,0.5
TQQQ,13,75,10.13%,30.89%,0.3
FDL,15,67,10.12%,34.44%,0.3
IOO,15,72,10.12%,9.43%,1.1
SPLV,7,68,10.12%,48.74%,0.2
RSPT,11,75,10.12%,11.04%,0.9
USCI,9,66,10.11%,34.11%,0.3
SPLV,6,69,10.11%,46.74%,0.2
SPHD,12,71,10.11%,39.55%,0.3
SPLV,8,69,10.10%,37.93%,0.3
SPHD,8,78,10.10%,25.46%,0.4
SPLV,9,65,10.10%,48.46%,0.2
SPTI,10,75,10.09%,27.65%,0.4
FDL,7,80,10.09%,19.81%,0.5
IOO,9,79,10.06%,8.04%,1.3
TQQQ,14,77,10.05%,11.19%,0.9
TQQQ,4,91,10.05%,14.58%,0.7
PHDG,15,71,10.04%,14.12%,0.7
IOO,6,82,10.03%,11.62%,0.9
TQQQ,15,76,10.03%,11.19%,0.9
USCI,7,72,10.03%,47.80%,0.2
TQQQ,6,85,10.03%,14.02%,0.7
SPTI,9,75,10.02%,30.22%,0.3
RSPT,12,72,10.02%,18.22%,0.5
FXE,8,72,10.01%,24.85%,0.4
FDL,8,78,10.00%,19.81%,0.5
TQQQ,11,76,10.00%,24.32%,0.4
IOO,4,87,10.00%,12.20%,0.8
TQQQ,5,80,10.00%,41.38%,0.2
PHDG,9,74,9.99%,37.34%,0.3
TQQQ,7,78,9.98%,21.81%,0.5
USCI,10,65,9.98%,38.32%,0.3
TQQQ,4,86,9.97%,31.46%,0.3
FDL,13,69,9.97%,30.48%,0.3
TQQQ,13,74,9.97%,32.02%,0.3
SPTI,7,80,9.96%,24.02%,0.4
FDL,7,79,9.96%,18.33%,0.5
SPLV,12,70,9.96%,34.52%,0.3
PHDG,12,71,9.95%,34.61%,0.3
TQQQ,6,86,9.95%,16.13%,0.6
IOO,11,76,9.94%,10.90%,0.9
IOO,14,66,9.92%,31.67%,0.3
GNMA,7,80,9.92%,22.18%,0.4
PHDG,10,73,9.91%,37.45%,0.3
FDL,13,70,9.91%,25.34%,0.4
SPHD,14,74,9.90%,8.08%,1.2
SPLV,7,76,9.90%,22.37%,0.4
PHDG,14,67,9.90%,34.38%,0.3
FDL,5,79,9.90%,28.51%,0.3
TQQQ,8,77,9.89%,23.13%,0.4
SPLV,8,74,9.87%,27.78%,0.4
SPLV,10,65,9.87%,46.00%,0.2
RSPT,15,69,9.87%,13.85%,0.7
RSPT,15,72,9.86%,11.88%,0.8
GNMA,5,84,9.86%,25.54%,0.4
TQQQ,5,88,9.86%,17.60%,0.6
PHDG,8,78,9.85%,21.23%,0.5
IOO,6,83,9.85%,13.41%,0.7
USCI,8,66,9.83%,44.15%,0.2
IOO,5,75,9.83%,32.25%,0.3
PHDG,10,72,9.83%,33.79%,0.3
DHS,9,75,9.83%,18.35%,0.5
FDL,9,76,9.83%,22.55%,0.4
SPLV,7,75,9.82%,33.38%,0.3
TQQQ,11,81,9.80%,4.51%,2.2
PHDG,7,80,9.80%,23.50%,0.4
USCI,12,69,9.80%,26.71%,0.4
DHS,12,71,9.78%,25.58%,0.4
TQQQ,12,75,9.76%,30.89%,0.3
DHS,8,72,9.76%,33.38%,0.3
RSPT,14,70,9.76%,13.85%,0.7
DTH,9,69,9.76%,36.59%,0.3
PHDG,7,83,9.75%,11.03%,0.9
SPHD,5,79,9.73%,31.88%,0.3
BIV,6,83,9.73%,33.87%,0.3
GNMA,6,83,9.72%,18.00%,0.5
FDL,12,70,9.70%,25.50%,0.4
SPHD,8,73,9.70%,31.83%,0.3
USCI,10,71,9.70%,24.17%,0.4
BIV,4,89,9.68%,27.36%,0.4
FXE,9,72,9.68%,21.24%,0.5
SPLV,11,69,9.67%,28.86%,0.3
IOO,3,93,9.66%,12.29%,0.8
SPLV,10,68,9.65%,36.75%,0.3
IOO,3,92,9.65%,13.26%,0.7
SPLV,15,66,9.64%,34.70%,0.3
TQQQ,11,75,9.64%,28.82%,0.3
SPLV,6,75,9.64%,36.46%,0.3
SPHD,9,76,9.63%,31.29%,0.3
PHDG,6,86,9.63%,11.03%,0.9
FDL,7,77,9.63%,25.02%,0.4
SPHD,10,77,9.62%,16.51%,0.6
IOO,8,69,9.62%,32.04%,0.3
FXE,13,69,9.62%,20.28%,0.5
IOO,6,71,9.61%,35.27%,0.3
DHS,11,73,9.60%,23.15%,0.4
IOO,12,75,9.60%,10.90%,0.9
PHDG,6,84,9.59%,14.93%,0.6
