Days,RSI,Symbol,AR,MD,Source
6,85,AIVI,3.030352817,10.67844924,Does this work? 
6,86,AIVI,0.647682666,13.9676258,Does this work? 
6,87,AIVI,1.00519607,6.996684409,Does this work? 
6,88,AIVI,1.250077377,4.06352575,Does this work? 
6,89,AIVI,0.928807246,2.451785259,Does this work? 
6,90,AIVI,1.028290128,2.127401982,Does this work? 
6,91,AIVI,1.118211067,2.127401982,Does this work? 
6,92,AIVI,1.036151147,2.127401982,Does this work? 
6,93,AIVI,1.100549302,1.632320382,Does this work? 
6,94,AIVI,1.097155402,1.690823663,Does this work? 
6,95,AIVI,1.216545962,0.431944048,Does this work? 
5,65,AIVI,-11.72665662,90.3662689,Does this work? 
5,66,AIVI,-9.963791214,88.842604,Does this work? 
5,67,AIVI,-8.321191267,83.97763505,Does this work? 
5,68,AIVI,-9.701073424,88.09830038,Does this work? 
5,69,AIVI,-6.38272985,84.19886947,Does this work? 
5,70,AIVI,-6.608477742,83.58554212,Does this work? 
5,71,AIVI,-4.068225995,79.79280557,Does this work? 
5,72,AIVI,-2.123514099,74.03460245,Does this work? 
5,73,AIVI,-1.094830042,70.2418629,Does this work? 
5,74,AIVI,-0.360967889,66.05848621,Does this work? 
5,75,AIVI,-0.774435677,60.29566601,Does this work? 
5,76,AIVI,0.332327686,54.20836218,Does this work? 
5,77,AIVI,1.495773967,44.79517057,Does this work? 
5,78,AIVI,4.104810837,42.03209048,Does this work? 
5,79,AIVI,5.009276823,34.5478794,Does this work? 
5,80,AIVI,4.988186954,30.35726175,Does this work? 
5,81,AIVI,4.788480619,27.25035691,Does this work? 
5,82,AIVI,5.721095424,25.78311863,Does this work? 
5,83,AIVI,5.900828589,24.25978219,Does this work? 
5,84,AIVI,5.287368684,18.00931589,Does this work? 
5,85,AIVI,2.893699327,18.00929995,Does this work? 
5,86,AIVI,3.037696497,21.26824406,Does this work? 
5,87,AIVI,1.165057947,18.86038218,Does this work? 
5,88,AIVI,0.956985564,16.46523104,Does this work? 
5,89,AIVI,1.333834691,10.57033926,Does this work? 
5,90,AIVI,0.26535988,9.923331574,Does this work? 
5,91,AIVI,0.929791212,4.063632382,Does this work? 
5,92,AIVI,0.694916005,4.250801703,Does this work? 
5,93,AIVI,1.011546007,2.127401982,Does this work? 
5,94,AIVI,1.011546007,2.127401982,Does this work? 
5,95,AIVI,1.182669495,1.632320382,Does this work? 
4,65,AIVI,-17.96309219,96.84337348,Does this work? 
4,66,AIVI,-16.53108683,95.78338705,Does this work? 
4,67,AIVI,-14.30044388,94.0511674,Does this work? 
4,68,AIVI,-11.4814109,91.1021012,Does this work? 
4,69,AIVI,-10.56648059,90.63508609,Does this work? 
4,70,AIVI,-8.929415523,88.3273404,Does this work? 
4,71,AIVI,-7.43593344,85.52058745,Does this work? 
4,72,AIVI,-5.197799981,79.86791665,Does this work? 
4,73,AIVI,-3.665689386,80.14075632,Does this work? 
4,74,AIVI,-1.085806794,75.54642355,Does this work? 
4,75,AIVI,-3.761689002,75.19910518,Does this work? 
4,76,AIVI,-2.898985321,71.20227294,Does this work? 
4,77,AIVI,-0.381770812,65.11433038,Does this work? 
4,78,AIVI,0.151684842,57.38012558,Does this work? 
4,79,AIVI,0.002415098,62.38565016,Does this work? 
