Lookback (days),RSIs,symbol,AR (%),sharpe_ratio,MD ,calmer_ratio
15,88,USCI,1.42%,0.6,5.25%,0.3
6,95,FDL,1.42%,0.5,6.60%,0.2
7,93,FDL,1.42%,0.5,6.60%,0.2
9,90,FDL,1.42%,0.5,6.60%,0.2
10,88,FDL,1.42%,0.5,6.60%,0.2
12,89,USCI,1.42%,0.6,5.25%,0.3
11,90,USCI,1.42%,0.6,5.25%,0.3
8,93,ZSL,1.41%,0.3,9.75%,0.1
9,92,ZSL,1.41%,0.3,9.75%,0.1
10,91,ZSL,1.41%,0.3,9.75%,0.1
12,89,ZSL,1.41%,0.3,9.75%,0.1
11,90,ZSL,1.41%,0.3,9.75%,0.1
15,80,IDLV,1.41%,2.9,0.35%,4.0
15,81,IDLV,1.41%,2.9,0.35%,4.0
15,82,IDLV,1.41%,2.9,0.35%,4.0
14,85,PHDG,1.41%,5.0,0.33%,4.3
14,86,PHDG,1.41%,5.0,0.33%,4.3
14,87,PHDG,1.41%,5.0,0.33%,4.3
14,88,PHDG,1.41%,5.0,0.33%,4.3
14,89,PHDG,1.41%,5.0,0.33%,4.3
14,90,PHDG,1.41%,5.0,0.33%,4.3
14,91,PHDG,1.41%,5.0,0.33%,4.3
14,92,PHDG,1.41%,5.0,0.33%,4.3
14,93,PHDG,1.41%,5.0,0.33%,4.3
14,94,PHDG,1.41%,5.0,0.33%,4.3
14,95,PHDG,1.41%,5.0,0.33%,4.3
15,85,PHDG,1.41%,5.0,0.33%,4.3
15,86,PHDG,1.41%,5.0,0.33%,4.3
15,87,PHDG,1.41%,5.0,0.33%,4.3
15,88,PHDG,1.41%,5.0,0.33%,4.3
15,89,PHDG,1.41%,5.0,0.33%,4.3
15,90,PHDG,1.41%,5.0,0.33%,4.3
15,91,PHDG,1.41%,5.0,0.33%,4.3
15,92,PHDG,1.41%,5.0,0.33%,4.3
15,93,PHDG,1.41%,5.0,0.33%,4.3
15,94,PHDG,1.41%,5.0,0.33%,4.3
15,95,PHDG,1.41%,5.0,0.33%,4.3
13,86,PHDG,1.41%,5.0,0.33%,4.3
13,87,PHDG,1.41%,5.0,0.33%,4.3
13,88,PHDG,1.41%,5.0,0.33%,4.3
13,89,PHDG,1.41%,5.0,0.33%,4.3
13,90,PHDG,1.41%,5.0,0.33%,4.3
13,91,PHDG,1.41%,5.0,0.33%,4.3
13,92,PHDG,1.41%,5.0,0.33%,4.3
13,93,PHDG,1.41%,5.0,0.33%,4.3
13,94,PHDG,1.41%,5.0,0.33%,4.3
13,95,PHDG,1.41%,5.0,0.33%,4.3
13,81,IDLV,1.41%,2.9,0.35%,4.0
13,82,IDLV,1.41%,2.9,0.35%,4.0
13,83,IDLV,1.41%,2.9,0.35%,4.0
12,82,IDLV,1.41%,2.9,0.35%,4.0
12,83,IDLV,1.41%,2.9,0.35%,4.0
12,84,IDLV,1.41%,2.9,0.35%,4.0
12,87,PHDG,1.41%,5.0,0.33%,4.3
12,88,PHDG,1.41%,5.0,0.33%,4.3
12,89,PHDG,1.41%,5.0,0.33%,4.3
12,90,PHDG,1.41%,5.0,0.33%,4.3
12,91,PHDG,1.41%,5.0,0.33%,4.3
12,92,PHDG,1.41%,5.0,0.33%,4.3
12,93,PHDG,1.41%,5.0,0.33%,4.3
12,94,PHDG,1.41%,5.0,0.33%,4.3
12,95,PHDG,1.41%,5.0,0.33%,4.3
11,83,IDLV,1.41%,2.9,0.35%,4.0
11,84,IDLV,1.41%,2.9,0.35%,4.0
11,85,IDLV,1.41%,2.9,0.35%,4.0
11,89,PHDG,1.41%,5.0,0.33%,4.3
11,90,PHDG,1.41%,5.0,0.33%,4.3
11,91,PHDG,1.41%,5.0,0.33%,4.3
11,92,PHDG,1.41%,5.0,0.33%,4.3
11,93,PHDG,1.41%,5.0,0.33%,4.3
11,94,PHDG,1.41%,5.0,0.33%,4.3
11,95,PHDG,1.41%,5.0,0.33%,4.3
14,81,IDLV,1.41%,2.9,0.35%,4.0
14,82,IDLV,1.41%,2.9,0.35%,4.0
6,91,IDLV,1.41%,2.9,0.35%,4.0
6,92,IDLV,1.41%,2.9,0.35%,4.0
7,88,IDLV,1.41%,2.9,0.35%,4.0
7,89,IDLV,1.41%,2.9,0.35%,4.0
7,90,IDLV,1.41%,2.9,0.35%,4.0
8,86,IDLV,1.41%,2.9,0.35%,4.0
8,87,IDLV,1.41%,2.9,0.35%,4.0
8,88,IDLV,1.41%,2.9,0.35%,4.0
8,89,IDLV,1.41%,2.9,0.35%,4.0
9,85,IDLV,1.41%,2.9,0.35%,4.0
9,86,IDLV,1.41%,2.9,0.35%,4.0
9,87,IDLV,1.41%,2.9,0.35%,4.0
10,84,IDLV,1.41%,2.9,0.35%,4.0
10,85,IDLV,1.41%,2.9,0.35%,4.0
10,86,IDLV,1.41%,2.9,0.35%,4.0
6,95,PHDG,1.41%,5.0,0.33%,4.3
7,93,PHDG,1.41%,5.0,0.33%,4.3
7,94,PHDG,1.41%,5.0,0.33%,4.3
7,95,PHDG,1.41%,5.0,0.33%,4.3
8,91,PHDG,1.41%,5.0,0.33%,4.3
8,92,PHDG,1.41%,5.0,0.33%,4.3
8,93,PHDG,1.41%,5.0,0.33%,4.3
8,94,PHDG,1.41%,5.0,0.33%,4.3
8,95,PHDG,1.41%,5.0,0.33%,4.3
9,90,PHDG,1.41%,5.0,0.33%,4.3
9,91,PHDG,1.41%,5.0,0.33%,4.3
9,92,PHDG,1.41%,5.0,0.33%,4.3
9,93,PHDG,1.41%,5.0,0.33%,4.3
9,94,PHDG,1.41%,5.0,0.33%,4.3
9,95,PHDG,1.41%,5.0,0.33%,4.3
10,89,PHDG,1.41%,5.0,0.33%,4.3
10,90,PHDG,1.41%,5.0,0.33%,4.3
10,91,PHDG,1.41%,5.0,0.33%,4.3
10,92,PHDG,1.41%,5.0,0.33%,4.3
10,93,PHDG,1.41%,5.0,0.33%,4.3
10,94,PHDG,1.41%,5.0,0.33%,4.3
10,95,PHDG,1.41%,5.0,0.33%,4.3
14,86,TQQQ,1.41%,2.0,0.45%,3.1
13,86,TQQQ,1.41%,2.0,0.45%,3.1
13,87,TQQQ,1.41%,2.0,0.45%,3.1
6,92,RSPT,1.41%,1.0,2.00%,0.7
9,87,USCI,1.41%,0.3,13.58%,0.1
10,90,TQQQ,1.41%,2.0,0.45%,3.1
12,87,TQQQ,1.41%,2.0,0.45%,3.1
12,88,TQQQ,1.41%,2.0,0.45%,3.1
11,89,TQQQ,1.41%,2.0,0.45%,3.1
9,74,UNL,1.40%,0.2,32.20%,0.0
8,85,EWH,1.40%,0.3,9.70%,0.1
15,80,SPHD,1.40%,5.0,0.33%,4.3
15,81,SPHD,1.40%,5.0,0.33%,4.3
15,82,SPHD,1.40%,5.0,0.33%,4.3
15,83,SPHD,1.40%,5.0,0.33%,4.3
15,84,SPHD,1.40%,5.0,0.33%,4.3
15,85,SPHD,1.40%,5.0,0.33%,4.3
15,86,SPHD,1.40%,5.0,0.33%,4.3
15,87,SPHD,1.40%,5.0,0.33%,4.3
15,88,SPHD,1.40%,5.0,0.33%,4.3
15,89,SPHD,1.40%,5.0,0.33%,4.3
15,90,SPHD,1.40%,5.0,0.33%,4.3
15,91,SPHD,1.40%,5.0,0.33%,4.3
15,92,SPHD,1.40%,5.0,0.33%,4.3
15,93,SPHD,1.40%,5.0,0.33%,4.3
15,94,SPHD,1.40%,5.0,0.33%,4.3
15,95,SPHD,1.40%,5.0,0.33%,4.3
14,81,SPHD,1.40%,5.0,0.33%,4.3
14,82,SPHD,1.40%,5.0,0.33%,4.3
14,83,SPHD,1.40%,5.0,0.33%,4.3
14,84,SPHD,1.40%,5.0,0.33%,4.3
14,85,SPHD,1.40%,5.0,0.33%,4.3
14,86,SPHD,1.40%,5.0,0.33%,4.3
14,87,SPHD,1.40%,5.0,0.33%,4.3
14,88,SPHD,1.40%,5.0,0.33%,4.3
14,89,SPHD,1.40%,5.0,0.33%,4.3
14,90,SPHD,1.40%,5.0,0.33%,4.3
14,91,SPHD,1.40%,5.0,0.33%,4.3
14,92,SPHD,1.40%,5.0,0.33%,4.3
14,93,SPHD,1.40%,5.0,0.33%,4.3
14,94,SPHD,1.40%,5.0,0.33%,4.3
14,95,SPHD,1.40%,5.0,0.33%,4.3
15,86,ZSL,1.40%,0.3,11.52%,0.1
13,82,SPHD,1.40%,5.0,0.33%,4.3
13,83,SPHD,1.40%,5.0,0.33%,4.3
13,84,SPHD,1.40%,5.0,0.33%,4.3
13,85,SPHD,1.40%,5.0,0.33%,4.3
13,86,SPHD,1.40%,5.0,0.33%,4.3
13,87,SPHD,1.40%,5.0,0.33%,4.3
13,88,SPHD,1.40%,5.0,0.33%,4.3
13,89,SPHD,1.40%,5.0,0.33%,4.3
13,90,SPHD,1.40%,5.0,0.33%,4.3
13,91,SPHD,1.40%,5.0,0.33%,4.3
13,92,SPHD,1.40%,5.0,0.33%,4.3
13,93,SPHD,1.40%,5.0,0.33%,4.3
13,94,SPHD,1.40%,5.0,0.33%,4.3
13,95,SPHD,1.40%,5.0,0.33%,4.3
12,83,SPHD,1.40%,5.0,0.33%,4.3
12,84,SPHD,1.40%,5.0,0.33%,4.3
12,85,SPHD,1.40%,5.0,0.33%,4.3
12,86,SPHD,1.40%,5.0,0.33%,4.3
12,87,SPHD,1.40%,5.0,0.33%,4.3
12,88,SPHD,1.40%,5.0,0.33%,4.3
12,89,SPHD,1.40%,5.0,0.33%,4.3
12,90,SPHD,1.40%,5.0,0.33%,4.3
12,91,SPHD,1.40%,5.0,0.33%,4.3
12,92,SPHD,1.40%,5.0,0.33%,4.3
12,93,SPHD,1.40%,5.0,0.33%,4.3
12,94,SPHD,1.40%,5.0,0.33%,4.3
12,95,SPHD,1.40%,5.0,0.33%,4.3
11,85,SPHD,1.40%,5.0,0.33%,4.3
11,86,SPHD,1.40%,5.0,0.33%,4.3
11,87,SPHD,1.40%,5.0,0.33%,4.3
11,88,SPHD,1.40%,5.0,0.33%,4.3
11,89,SPHD,1.40%,5.0,0.33%,4.3
11,90,SPHD,1.40%,5.0,0.33%,4.3
11,91,SPHD,1.40%,5.0,0.33%,4.3
11,92,SPHD,1.40%,5.0,0.33%,4.3
11,93,SPHD,1.40%,5.0,0.33%,4.3
11,94,SPHD,1.40%,5.0,0.33%,4.3
11,95,SPHD,1.40%,5.0,0.33%,4.3
14,81,DHS,1.40%,1.8,0.43%,3.2
5,95,SPHD,1.40%,5.0,0.33%,4.3
6,93,SPHD,1.40%,5.0,0.33%,4.3
6,94,SPHD,1.40%,5.0,0.33%,4.3
6,95,SPHD,1.40%,5.0,0.33%,4.3
7,91,SPHD,1.40%,5.0,0.33%,4.3
7,92,SPHD,1.40%,5.0,0.33%,4.3
7,93,SPHD,1.40%,5.0,0.33%,4.3
7,94,SPHD,1.40%,5.0,0.33%,4.3
7,95,SPHD,1.40%,5.0,0.33%,4.3
8,90,SPHD,1.40%,5.0,0.33%,4.3
8,91,SPHD,1.40%,5.0,0.33%,4.3
8,92,SPHD,1.40%,5.0,0.33%,4.3
8,93,SPHD,1.40%,5.0,0.33%,4.3
8,94,SPHD,1.40%,5.0,0.33%,4.3
8,95,SPHD,1.40%,5.0,0.33%,4.3
9,88,SPHD,1.40%,5.0,0.33%,4.3
9,89,SPHD,1.40%,5.0,0.33%,4.3
9,90,SPHD,1.40%,5.0,0.33%,4.3
9,91,SPHD,1.40%,5.0,0.33%,4.3
9,92,SPHD,1.40%,5.0,0.33%,4.3
9,93,SPHD,1.40%,5.0,0.33%,4.3
9,94,SPHD,1.40%,5.0,0.33%,4.3
9,95,SPHD,1.40%,5.0,0.33%,4.3
10,86,SPHD,1.40%,5.0,0.33%,4.3
10,87,SPHD,1.40%,5.0,0.33%,4.3
10,88,SPHD,1.40%,5.0,0.33%,4.3
10,89,SPHD,1.40%,5.0,0.33%,4.3
10,90,SPHD,1.40%,5.0,0.33%,4.3
10,91,SPHD,1.40%,5.0,0.33%,4.3
10,92,SPHD,1.40%,5.0,0.33%,4.3
10,93,SPHD,1.40%,5.0,0.33%,4.3
10,94,SPHD,1.40%,5.0,0.33%,4.3
10,95,SPHD,1.40%,5.0,0.33%,4.3
7,88,EWH,1.40%,0.3,9.71%,0.1
13,82,DHS,1.40%,1.8,0.43%,3.2
6,94,DHS,1.39%,1.8,0.43%,3.2
7,92,DHS,1.39%,1.8,0.43%,3.2
10,87,DHS,1.39%,1.8,0.43%,3.2
11,85,DHS,1.39%,1.8,0.43%,3.2
2,94,BIV,1.39%,0.2,70.12%,0.0
9,79,UNL,1.39%,0.2,14.14%,0.1
11,79,UNL,1.39%,0.3,10.64%,0.1
13,66,UNL,1.38%,0.2,51.97%,0.0
6,88,UNL,1.37%,0.3,12.85%,0.1
11,69,RSPT,1.37%,0.2,50.27%,0.0
4,95,USCI,1.37%,0.2,20.76%,0.1
13,80,SPHD,1.37%,1.3,3.14%,0.4
12,68,UNL,1.37%,0.2,54.32%,0.0
7,86,IDLV,1.37%,1.2,2.82%,0.5
13,79,BIV,1.37%,0.2,35.44%,0.0
4,83,PHDG,1.37%,0.2,43.08%,0.0
15,85,TQQQ,1.36%,2.0,0.45%,3.0
7,82,RINF,1.36%,0.2,26.82%,0.1
10,69,RSPT,1.35%,0.2,46.01%,0.0
3,85,GNMA,1.35%,0.2,55.85%,0.0
13,84,FDL,1.35%,0.5,6.60%,0.2
13,87,USCI,1.35%,0.5,5.25%,0.3
8,80,EWH,1.35%,0.2,25.41%,0.1
15,83,FDL,1.35%,0.5,6.60%,0.2
8,85,UNL,1.35%,0.3,12.85%,0.1
12,88,USCI,1.35%,0.5,5.25%,0.3
6,87,ZSL,1.35%,0.2,39.48%,0.0
8,67,DHS,1.35%,0.2,69.36%,0.0
10,85,GNMA,1.35%,0.2,14.92%,0.1
5,79,IDLV,1.34%,0.2,35.37%,0.0
8,87,USCI,1.34%,0.2,16.85%,0.1
8,92,SPTI,1.34%,0.2,20.67%,0.1
10,85,ZSL,1.34%,0.2,11.52%,0.1
13,81,SPHD,1.34%,4.1,0.96%,1.4
12,82,SPHD,1.34%,4.1,0.96%,1.4
11,83,SPHD,1.33%,4.1,0.96%,1.4
11,84,SPHD,1.33%,4.1,0.96%,1.4
7,90,SPHD,1.33%,4.1,0.96%,1.4
8,88,SPHD,1.33%,4.1,0.96%,1.4
8,89,SPHD,1.33%,4.1,0.96%,1.4
9,86,SPHD,1.33%,4.1,0.96%,1.4
9,87,SPHD,1.33%,4.1,0.96%,1.4
10,85,SPHD,1.33%,4.1,0.96%,1.4
14,80,USCI,1.33%,0.2,13.99%,0.1
4,95,IDLV,1.33%,1.6,1.82%,0.7
5,92,IDLV,1.33%,1.6,1.82%,0.7
14,82,USCI,1.33%,0.3,16.39%,0.1
13,83,USCI,1.33%,0.3,16.39%,0.1
12,77,UNL,1.33%,0.2,10.64%,0.1
5,93,IDLV,1.32%,2.4,1.06%,1.3
6,90,IDLV,1.32%,2.4,1.06%,1.3
11,88,GNMA,1.32%,4.8,0.35%,3.8
11,89,GNMA,1.32%,4.8,0.35%,3.8
11,90,GNMA,1.32%,4.8,0.35%,3.8
11,91,GNMA,1.32%,4.8,0.35%,3.8
11,92,GNMA,1.32%,4.8,0.35%,3.8
11,93,GNMA,1.32%,4.8,0.35%,3.8
11,94,GNMA,1.32%,4.8,0.35%,3.8
11,95,GNMA,1.32%,4.8,0.35%,3.8
15,84,GNMA,1.32%,4.8,0.35%,3.8
15,85,GNMA,1.32%,4.8,0.35%,3.8
15,86,GNMA,1.32%,4.8,0.35%,3.8
15,87,GNMA,1.32%,4.8,0.35%,3.8
15,88,GNMA,1.32%,4.8,0.35%,3.8
15,89,GNMA,1.32%,4.8,0.35%,3.8
15,90,GNMA,1.32%,4.8,0.35%,3.8
15,91,GNMA,1.32%,4.8,0.35%,3.8
15,92,GNMA,1.32%,4.8,0.35%,3.8
15,93,GNMA,1.32%,4.8,0.35%,3.8
15,94,GNMA,1.32%,4.8,0.35%,3.8
15,95,GNMA,1.32%,4.8,0.35%,3.8
6,94,GNMA,1.32%,4.8,0.35%,3.8
6,95,GNMA,1.32%,4.8,0.35%,3.8
7,93,GNMA,1.32%,4.8,0.35%,3.8
7,94,GNMA,1.32%,4.8,0.35%,3.8
7,95,GNMA,1.32%,4.8,0.35%,3.8
8,91,GNMA,1.32%,4.8,0.35%,3.8
8,92,GNMA,1.32%,4.8,0.35%,3.8
8,93,GNMA,1.32%,4.8,0.35%,3.8
8,94,GNMA,1.32%,4.8,0.35%,3.8
8,95,GNMA,1.32%,4.8,0.35%,3.8
9,90,GNMA,1.32%,4.8,0.35%,3.8
9,91,GNMA,1.32%,4.8,0.35%,3.8
9,92,GNMA,1.32%,4.8,0.35%,3.8
9,93,GNMA,1.32%,4.8,0.35%,3.8
9,94,GNMA,1.32%,4.8,0.35%,3.8
9,95,GNMA,1.32%,4.8,0.35%,3.8
10,89,GNMA,1.32%,4.8,0.35%,3.8
10,90,GNMA,1.32%,4.8,0.35%,3.8
10,91,GNMA,1.32%,4.8,0.35%,3.8
10,92,GNMA,1.32%,4.8,0.35%,3.8
10,93,GNMA,1.32%,4.8,0.35%,3.8
10,94,GNMA,1.32%,4.8,0.35%,3.8
10,95,GNMA,1.32%,4.8,0.35%,3.8
13,65,PHDG,1.32%,0.2,51.78%,0.0
14,85,GNMA,1.32%,4.8,0.35%,3.8
14,86,GNMA,1.32%,4.8,0.35%,3.8
14,87,GNMA,1.32%,4.8,0.35%,3.8
14,88,GNMA,1.32%,4.8,0.35%,3.8
14,89,GNMA,1.32%,4.8,0.35%,3.8
14,90,GNMA,1.32%,4.8,0.35%,3.8
14,91,GNMA,1.32%,4.8,0.35%,3.8
14,92,GNMA,1.32%,4.8,0.35%,3.8
14,93,GNMA,1.32%,4.8,0.35%,3.8
14,94,GNMA,1.32%,4.8,0.35%,3.8
14,95,GNMA,1.32%,4.8,0.35%,3.8
13,86,GNMA,1.32%,4.8,0.35%,3.8
13,87,GNMA,1.32%,4.8,0.35%,3.8
13,88,GNMA,1.32%,4.8,0.35%,3.8
13,89,GNMA,1.32%,4.8,0.35%,3.8
13,90,GNMA,1.32%,4.8,0.35%,3.8
13,91,GNMA,1.32%,4.8,0.35%,3.8
13,92,GNMA,1.32%,4.8,0.35%,3.8
13,93,GNMA,1.32%,4.8,0.35%,3.8
13,94,GNMA,1.32%,4.8,0.35%,3.8
13,95,GNMA,1.32%,4.8,0.35%,3.8
12,87,GNMA,1.32%,4.8,0.35%,3.8
12,88,GNMA,1.32%,4.8,0.35%,3.8
12,89,GNMA,1.32%,4.8,0.35%,3.8
12,90,GNMA,1.32%,4.8,0.35%,3.8
12,91,GNMA,1.32%,4.8,0.35%,3.8
12,92,GNMA,1.32%,4.8,0.35%,3.8
12,93,GNMA,1.32%,4.8,0.35%,3.8
12,94,GNMA,1.32%,4.8,0.35%,3.8
12,95,GNMA,1.32%,4.8,0.35%,3.8
12,76,UNL,1.32%,0.2,12.19%,0.1
15,83,IDLV,1.32%,4.7,0.35%,3.8
15,84,IDLV,1.32%,4.7,0.35%,3.8
15,85,IDLV,1.32%,4.7,0.35%,3.8
15,86,IDLV,1.32%,4.7,0.35%,3.8
15,87,IDLV,1.32%,4.7,0.35%,3.8
15,88,IDLV,1.32%,4.7,0.35%,3.8
15,89,IDLV,1.32%,4.7,0.35%,3.8
15,90,IDLV,1.32%,4.7,0.35%,3.8
15,91,IDLV,1.32%,4.7,0.35%,3.8
15,92,IDLV,1.32%,4.7,0.35%,3.8
15,93,IDLV,1.32%,4.7,0.35%,3.8
15,94,IDLV,1.32%,4.7,0.35%,3.8
15,95,IDLV,1.32%,4.7,0.35%,3.8
13,84,IDLV,1.32%,4.7,0.35%,3.8
13,85,IDLV,1.32%,4.7,0.35%,3.8
13,86,IDLV,1.32%,4.7,0.35%,3.8
13,87,IDLV,1.32%,4.7,0.35%,3.8
13,88,IDLV,1.32%,4.7,0.35%,3.8
13,89,IDLV,1.32%,4.7,0.35%,3.8
13,90,IDLV,1.32%,4.7,0.35%,3.8
13,91,IDLV,1.32%,4.7,0.35%,3.8
13,92,IDLV,1.32%,4.7,0.35%,3.8
13,93,IDLV,1.32%,4.7,0.35%,3.8
13,94,IDLV,1.32%,4.7,0.35%,3.8
13,95,IDLV,1.32%,4.7,0.35%,3.8
12,85,IDLV,1.31%,4.7,0.35%,3.8
12,86,IDLV,1.31%,4.7,0.35%,3.8
12,87,IDLV,1.31%,4.7,0.35%,3.8
12,88,IDLV,1.31%,4.7,0.35%,3.8
12,89,IDLV,1.31%,4.7,0.35%,3.8
12,90,IDLV,1.31%,4.7,0.35%,3.8
12,91,IDLV,1.31%,4.7,0.35%,3.8
12,92,IDLV,1.31%,4.7,0.35%,3.8
12,93,IDLV,1.31%,4.7,0.35%,3.8
12,94,IDLV,1.31%,4.7,0.35%,3.8
12,95,IDLV,1.31%,4.7,0.35%,3.8
15,85,RINF,1.31%,4.7,0.35%,3.8
15,86,RINF,1.31%,4.7,0.35%,3.8
15,87,RINF,1.31%,4.7,0.35%,3.8
15,88,RINF,1.31%,4.7,0.35%,3.8
15,89,RINF,1.31%,4.7,0.35%,3.8
15,90,RINF,1.31%,4.7,0.35%,3.8
15,91,RINF,1.31%,4.7,0.35%,3.8
15,92,RINF,1.31%,4.7,0.35%,3.8
15,93,RINF,1.31%,4.7,0.35%,3.8
15,94,RINF,1.31%,4.7,0.35%,3.8
15,95,RINF,1.31%,4.7,0.35%,3.8
11,86,IDLV,1.31%,4.7,0.35%,3.8
11,87,IDLV,1.31%,4.7,0.35%,3.8
11,88,IDLV,1.31%,4.7,0.35%,3.8
11,89,IDLV,1.31%,4.7,0.35%,3.8
11,90,IDLV,1.31%,4.7,0.35%,3.8
11,91,IDLV,1.31%,4.7,0.35%,3.8
11,92,IDLV,1.31%,4.7,0.35%,3.8
11,93,IDLV,1.31%,4.7,0.35%,3.8
11,94,IDLV,1.31%,4.7,0.35%,3.8
11,95,IDLV,1.31%,4.7,0.35%,3.8
14,86,RINF,1.31%,4.7,0.35%,3.8
14,87,RINF,1.31%,4.7,0.35%,3.8
14,88,RINF,1.31%,4.7,0.35%,3.8
14,89,RINF,1.31%,4.7,0.35%,3.8
14,90,RINF,1.31%,4.7,0.35%,3.8
14,91,RINF,1.31%,4.7,0.35%,3.8
14,92,RINF,1.31%,4.7,0.35%,3.8
14,93,RINF,1.31%,4.7,0.35%,3.8
14,94,RINF,1.31%,4.7,0.35%,3.8
14,95,RINF,1.31%,4.7,0.35%,3.8
5,90,EWH,1.31%,0.3,11.35%,0.1
5,94,IDLV,1.31%,4.7,0.35%,3.8
5,95,IDLV,1.31%,4.7,0.35%,3.8
6,93,IDLV,1.31%,4.7,0.35%,3.8
6,94,IDLV,1.31%,4.7,0.35%,3.8
6,95,IDLV,1.31%,4.7,0.35%,3.8
7,91,IDLV,1.31%,4.7,0.35%,3.8
7,92,IDLV,1.31%,4.7,0.35%,3.8
7,93,IDLV,1.31%,4.7,0.35%,3.8
7,94,IDLV,1.31%,4.7,0.35%,3.8
7,95,IDLV,1.31%,4.7,0.35%,3.8
8,90,IDLV,1.31%,4.7,0.35%,3.8
8,91,IDLV,1.31%,4.7,0.35%,3.8
8,92,IDLV,1.31%,4.7,0.35%,3.8
8,93,IDLV,1.31%,4.7,0.35%,3.8
8,94,IDLV,1.31%,4.7,0.35%,3.8
8,95,IDLV,1.31%,4.7,0.35%,3.8
9,88,IDLV,1.31%,4.7,0.35%,3.8
9,89,IDLV,1.31%,4.7,0.35%,3.8
9,90,IDLV,1.31%,4.7,0.35%,3.8
9,91,IDLV,1.31%,4.7,0.35%,3.8
9,92,IDLV,1.31%,4.7,0.35%,3.8
9,93,IDLV,1.31%,4.7,0.35%,3.8
9,94,IDLV,1.31%,4.7,0.35%,3.8
9,95,IDLV,1.31%,4.7,0.35%,3.8
10,87,IDLV,1.31%,4.7,0.35%,3.8
10,88,IDLV,1.31%,4.7,0.35%,3.8
10,89,IDLV,1.31%,4.7,0.35%,3.8
10,90,IDLV,1.31%,4.7,0.35%,3.8
10,91,IDLV,1.31%,4.7,0.35%,3.8
10,92,IDLV,1.31%,4.7,0.35%,3.8
10,93,IDLV,1.31%,4.7,0.35%,3.8
10,94,IDLV,1.31%,4.7,0.35%,3.8
10,95,IDLV,1.31%,4.7,0.35%,3.8
13,88,RINF,1.31%,4.7,0.35%,3.8
13,89,RINF,1.31%,4.7,0.35%,3.8
13,90,RINF,1.31%,4.7,0.35%,3.8
13,91,RINF,1.31%,4.7,0.35%,3.8
13,92,RINF,1.31%,4.7,0.35%,3.8
13,93,RINF,1.31%,4.7,0.35%,3.8
13,94,RINF,1.31%,4.7,0.35%,3.8
13,95,RINF,1.31%,4.7,0.35%,3.8
14,83,IDLV,1.31%,4.7,0.35%,3.8
14,84,IDLV,1.31%,4.7,0.35%,3.8
14,85,IDLV,1.31%,4.7,0.35%,3.8
14,86,IDLV,1.31%,4.7,0.35%,3.8
14,87,IDLV,1.31%,4.7,0.35%,3.8
14,88,IDLV,1.31%,4.7,0.35%,3.8
14,89,IDLV,1.31%,4.7,0.35%,3.8
14,90,IDLV,1.31%,4.7,0.35%,3.8
14,91,IDLV,1.31%,4.7,0.35%,3.8
14,92,IDLV,1.31%,4.7,0.35%,3.8
14,93,IDLV,1.31%,4.7,0.35%,3.8
14,94,IDLV,1.31%,4.7,0.35%,3.8
14,95,IDLV,1.31%,4.7,0.35%,3.8
11,90,RINF,1.31%,4.7,0.35%,3.8
11,91,RINF,1.31%,4.7,0.35%,3.8
11,92,RINF,1.31%,4.7,0.35%,3.8
11,93,RINF,1.31%,4.7,0.35%,3.8
11,94,RINF,1.31%,4.7,0.35%,3.8
11,95,RINF,1.31%,4.7,0.35%,3.8
8,95,RINF,1.31%,4.7,0.35%,3.8
9,93,RINF,1.31%,4.7,0.35%,3.8
9,94,RINF,1.31%,4.7,0.35%,3.8
9,95,RINF,1.31%,4.7,0.35%,3.8
10,92,RINF,1.31%,4.7,0.35%,3.8
10,93,RINF,1.31%,4.7,0.35%,3.8
10,94,RINF,1.31%,4.7,0.35%,3.8
10,95,RINF,1.31%,4.7,0.35%,3.8
15,68,RINF,1.31%,0.2,40.23%,0.0
3,85,DHS,1.31%,0.2,40.37%,0.0
12,89,RINF,1.31%,4.7,0.35%,3.8
12,90,RINF,1.31%,4.7,0.35%,3.8
12,91,RINF,1.31%,4.7,0.35%,3.8
12,92,RINF,1.31%,4.7,0.35%,3.8
12,93,RINF,1.31%,4.7,0.35%,3.8
12,94,RINF,1.31%,4.7,0.35%,3.8
12,95,RINF,1.31%,4.7,0.35%,3.8
14,84,DTH,1.31%,2.7,0.43%,3.0
13,85,DTH,1.31%,2.7,0.43%,3.0
13,67,RSPT,1.31%,0.2,56.14%,0.0
7,86,UNL,1.31%,0.3,12.85%,0.1
14,85,DTH,1.30%,2.7,0.43%,3.0
13,86,DTH,1.30%,2.7,0.43%,3.0
15,84,DTH,1.30%,2.7,0.43%,3.0
12,86,DTH,1.30%,2.7,0.43%,3.0
11,87,DTH,1.30%,2.7,0.43%,3.0
5,95,DHS,1.29%,1.5,1.64%,0.8
6,93,DHS,1.29%,1.5,1.64%,0.8
7,91,DHS,1.29%,1.5,1.64%,0.8
8,89,DHS,1.29%,1.5,1.64%,0.8
8,90,DHS,1.29%,1.5,1.64%,0.8
9,88,DHS,1.29%,1.5,1.64%,0.8
10,86,DHS,1.29%,1.5,1.64%,0.8
6,94,ZSL,1.29%,0.3,9.75%,0.1
7,93,ZSL,1.29%,0.3,9.75%,0.1
9,81,UNL,1.29%,0.2,14.26%,0.1
10,80,UNL,1.29%,0.2,14.26%,0.1
3,95,EWH,1.29%,0.2,12.35%,0.1
