Lookback (days),RSIs,symbol,AR (%),sharpe_ratio,MD ,calmer_ratio
8,75,FDL,11.47%,0.7,20.14%,0.6
11,70,SPLV,11.45%,0.6,34.08%,0.3
9,78,TQQQ,11.43%,0.8,16.19%,0.7
6,77,SPHD,11.43%,0.6,23.33%,0.5
8,78,IOO,11.43%,0.9,10.90%,1.0
9,69,USCI,11.42%,0.6,32.29%,0.4
11,75,PHDG,11.40%,0.9,11.03%,1.0
15,68,FDL,11.39%,0.7,25.61%,0.4
5,79,TQQQ,11.39%,0.7,42.59%,0.3
7,70,IOO,11.37%,0.6,32.37%,0.4
9,78,PHDG,11.36%,0.9,11.03%,1.0
10,75,IOO,11.35%,0.9,11.21%,1.0
5,81,TQQQ,11.34%,0.7,33.82%,0.3
3,91,IOO,11.34%,0.8,12.97%,0.9
10,71,FXE,11.34%,0.6,21.61%,0.5
15,70,FDL,11.32%,0.8,20.14%,0.6
5,85,IOO,11.32%,0.9,12.21%,0.9
13,66,IOO,11.32%,0.6,36.13%,0.3
8,81,TQQQ,11.30%,0.8,13.04%,0.9
7,81,TQQQ,11.29%,0.8,17.84%,0.6
14,72,FDL,11.28%,0.9,23.58%,0.5
11,71,SPLV,11.28%,0.6,34.48%,0.3
12,68,IOO,11.27%,0.7,24.85%,0.5
10,77,PHDG,11.26%,0.9,11.03%,1.0
14,66,SPLV,11.25%,0.5,41.57%,0.3
8,80,TQQQ,11.25%,0.8,16.34%,0.7
14,66,USCI,11.25%,0.6,26.42%,0.4
8,79,FDL,11.24%,0.8,19.81%,0.6
12,76,TQQQ,11.24%,0.8,23.09%,0.5
14,72,PHDG,11.24%,0.8,10.12%,1.1
7,70,SPLV,11.23%,0.5,42.84%,0.3
9,75,SPHD,11.23%,0.6,25.96%,0.4
10,76,IOO,11.22%,0.9,10.90%,1.0
10,66,SPLV,11.22%,0.5,41.08%,0.3
15,71,IOO,11.21%,0.9,9.43%,1.2
12,75,PHDG,11.21%,0.9,9.82%,1.1
7,74,SPLV,11.21%,0.6,33.98%,0.3
11,72,SPLV,11.19%,0.6,31.39%,0.4
6,81,IOO,11.19%,0.8,14.18%,0.8
9,73,SPHD,11.17%,0.6,28.66%,0.4
14,69,FDL,11.17%,0.7,25.38%,0.4
13,68,SPLV,11.16%,0.6,35.77%,0.3
8,77,SPTI,11.16%,0.6,27.65%,0.4
8,76,FDL,11.14%,0.7,20.14%,0.6
14,68,USCI,11.13%,0.6,26.29%,0.4
10,69,FXE,11.13%,0.6,24.29%,0.5
10,71,SPLV,11.11%,0.6,34.11%,0.3
4,93,TQQQ,11.11%,0.9,6.83%,1.6
9,79,PHDG,11.10%,0.9,11.03%,1.0
12,74,RSPT,11.10%,1.0,11.28%,1.0
11,74,FDL,11.08%,0.8,24.30%,0.5
5,84,TQQQ,11.08%,0.7,21.80%,0.5
9,72,SPLV,11.08%,0.6,23.95%,0.5
14,73,PHDG,11.05%,0.8,9.82%,1.1
9,74,SPLV,11.04%,0.6,30.83%,0.4
8,79,IOO,11.03%,0.9,9.76%,1.1
9,77,IOO,11.02%,0.9,10.90%,1.0
12,70,FXE,11.00%,0.6,21.61%,0.5
11,75,IOO,10.99%,0.9,9.90%,1.1
13,67,IOO,10.98%,0.6,24.09%,0.5
6,80,SPTI,10.98%,0.5,32.17%,0.3
5,83,SPTI,10.97%,0.5,31.69%,0.3
8,73,FXE,10.97%,0.6,21.24%,0.5
4,79,IOO,10.97%,0.6,35.20%,0.3
13,70,PHDG,10.96%,0.6,37.72%,0.3
8,65,SPLV,10.96%,0.5,50.79%,0.2
9,77,SPHD,10.95%,0.6,20.53%,0.5
9,71,USCI,10.93%,0.6,32.07%,0.3
4,87,TQQQ,10.92%,0.7,30.23%,0.4
5,91,TQQQ,10.92%,0.9,4.51%,2.4
9,70,SPLV,10.92%,0.5,32.70%,0.3
7,81,GNMA,10.91%,0.6,18.25%,0.6
12,71,FDL,10.90%,0.7,25.34%,0.4
13,73,RSPT,10.88%,1.0,11.88%,0.9
5,77,USCI,10.88%,0.6,38.32%,0.3
7,78,SPHD,10.87%,0.6,24.14%,0.5
13,71,FDL,10.87%,0.7,25.34%,0.4
12,68,SPLV,10.87%,0.5,31.85%,0.3
11,76,PHDG,10.86%,0.8,11.03%,1.0
14,67,FXE,10.86%,0.6,21.61%,0.5
9,76,SPTI,10.86%,0.6,27.65%,0.4
11,65,USCI,10.85%,0.5,41.71%,0.3
10,75,SPHD,10.85%,0.6,27.72%,0.4
4,88,SPTI,10.84%,0.6,24.02%,0.5
7,75,SPHD,10.84%,0.6,27.47%,0.4
13,73,IOO,10.84%,0.9,9.43%,1.1
